1d2f7a5e, 24-2-2020-10-2-37, 04, 4
118d7a5e, 24-2-2020-16-43-29, 0a, 10
b032795e, 23-2-2020-16-5-36, 0a, 10
63e67a5e, 25-2-2020--1-4-35, 09, 9
4ae3795e, 24-2-2020-4-39-6, 0d, 13
2e547a5e, 24-2-2020-12-40-46, 04, 4
1a697a5e, 24-2-2020-14-10-2, 0a, 10
7b167a5e, 24-2-2020-8-17-31, 08, 8
de117a5e, 24-2-2020-7-57-50, 0e, 14
b72c595e, 28-1-2020-9-7-35, 0e, 14
d62e7a5e, 24-2-2020-10-1-26, 05, 5
9fef595e, 29-1-2020--2-59-11, 09, 9
90d2795e, 24-2-2020-3-27-44, 02, 2
5104595e, 28-1-2020-6-15-13, 00, 0
62575b5e, 1-2-2020-0-34-10, 10, 16
1a997a5e, 24-2-2020-17-34-50, 04, 4
36747a5e, 24-2-2020-14-57-26, 09, 9
ab767a5e, 24-2-2020-15-7-55, 04, 4
02227a5e, 24-2-2020-9-6-42, 02, 2
55017a5e, 24-2-2020-6-47-17, 10, 16
a0bd595e, 28-1-2020-19-25-52, 04, 4
64e1585e, 28-1-2020-3-46-12, 00, 0
028e795e, 24-2-2020--2-35-14, 0b, 11
af6f7a5e, 24-2-2020-14-38-7, 0c, 12
287d595e, 28-1-2020-14-50-48, 09, 9
91dc585e, 28-1-2020-3-25-37, 00, 0
73055a5e, 29-1-2020-0-32-19, 01, 1
bdba7a5e, 24-2-2020-19-58-21, 02, 2
941d595e, 28-1-2020-8-3-0, 00, 0
aa557a5e, 24-2-2020-12-47-6, 06, 6
7008595e, 28-1-2020-6-32-48, 00, 0
eb27595e, 28-1-2020-8-47-7, 08, 8
9fdd585e, 28-1-2020-3-30-7, 00, 0
9c517a5e, 24-2-2020-12-29-48, 01, 1
d8b5595e, 28-1-2020-18-52-40, 05, 5
2f45595e, 28-1-2020-10-51-59, 02, 2
00e97a5e, 25-2-2020--1-15-44, 01, 1
f76b7a5e, 24-2-2020-14-22-15, 08, 8
3e867a5e, 24-2-2020-16-14-22, 02, 2
73b17a5e, 24-2-2020-19-18-43, 0b, 11
492c595e, 28-1-2020-9-5-45, 04, 4
9c517a5e, 24-2-2020-12-29-48, 01, 1
bd3d585e, 27-1-2020-16-7-57, 00, 0
9e4d7a5e, 24-2-2020-12-12-46, 07, 7
5047595e, 28-1-2020-11-1-4, 05, 5
85c0595e, 28-1-2020-19-38-13, 0c, 12
ca105b5e, 29-1-2020-19-32-58, 0a, 10
38f8585e, 28-1-2020-5-23-36, 00, 0
